id,省份,类型,lat,long,传感器数量
156,宁夏回族自治区,光伏,35.69760046,106.2670544,573
157,新疆维吾尔自治区,火电,41.16188243,89.54937454,1972
158,新疆维吾尔自治区,火电,40.22653018,90.85165761,1177
159,新疆维吾尔自治区,火电,46.49670297,83.15900674,540
160,新疆维吾尔自治区,火电,41.43097395,87.72256189,1958
161,新疆维吾尔自治区,火电,42.1958292,83.99894762,858
162,新疆维吾尔自治区,火电,37.62429448,77.51978448,697
163,新疆维吾尔自治区,火电,40.19651557,78.69692787,1549
164,新疆维吾尔自治区,火电,43.30000518,83.25323084,1085
165,新疆维吾尔自治区,火电,46.98974746,89.58123263,1580
166,新疆维吾尔自治区,火电,44.07121972,80.51146132,1266
167,新疆维吾尔自治区,火电,44.60824525,89.01536013,1299
168,新疆维吾尔自治区,火电,37.07985092,86.57142673,1284
169,新疆维吾尔自治区,火电,37.49406278,89.21952485,1107
170,新疆维吾尔自治区,火电,39.30442353,74.40020893,1628
171,新疆维吾尔自治区,火电,43.0983592,88.9260709,1491
172,新疆维吾尔自治区,火电,45.9540145,84.06932841,1226
173,新疆维吾尔自治区,火电,39.63308815,76.67599923,776
174,新疆维吾尔自治区,水电,43.25781461,86.40422265,1026
175,新疆维吾尔自治区,水电,42.59317023,81.58030983,866
176,新疆维吾尔自治区,水电,45.82502046,86.96683358,1809
177,新疆维吾尔自治区,水电,41.64417487,83.07576233,785
178,新疆维吾尔自治区,水电,39.56523594,87.58501,1812
179,新疆维吾尔自治区,风电,48.68922254,87.86138427,627
180,新疆维吾尔自治区,风电,36.03928945,81.76532561,1587
181,新疆维吾尔自治区,风电,38.93371276,77.30791252,1526
182,新疆维吾尔自治区,风电,36.79989501,87.21951934,1104
183,新疆维吾尔自治区,风电,42.54434918,80.99949772,1410
184,新疆维吾尔自治区,风电,39.42870245,83.17801337,1437
185,新疆维吾尔自治区,风电,42.78680192,88.18097886,1057
186,新疆维吾尔自治区,风电,42.24555848,88.0109821,824
187,新疆维吾尔自治区,风电,41.92297219,90.78391678,1503
188,新疆维吾尔自治区,风电,40.89444282,85.39010016,1195
189,新疆维吾尔自治区,风电,38.73508765,77.83054723,689
190,新疆维吾尔自治区,风电,41.86722727,85.53953005,1430
191,新疆维吾尔自治区,风电,38.72422577,85.79534298,1839
192,新疆维吾尔自治区,风电,48.06736843,88.06794852,1807
193,新疆维吾尔自治区,风电,45.01750257,92.67142741,1417
194,新疆维吾尔自治区,风电,39.5019026,79.17717777,1789
195,新疆维吾尔自治区,风电,45.90576622,89.77654612,1347
196,新疆维吾尔自治区,风电,43.92995086,95.06255495,801
197,新疆维吾尔自治区,风电,45.97297277,85.86516094,616
198,新疆维吾尔自治区,风电,43.40886681,91.81884095,1113
199,新疆维吾尔自治区,风电,36.08068936,78.25167794,565
200,新疆维吾尔自治区,风电,43.421744,89.98008508,1462
201,新疆维吾尔自治区,光伏,42.31479598,86.44110227,743
202,新疆维吾尔自治区,光伏,36.27997128,77.20304882,818
203,新疆维吾尔自治区,光伏,44.72367796,86.30055432,1638
204,新疆维吾尔自治区,光伏,43.36286676,81.17887711,812
205,新疆维吾尔自治区,光伏,47.89055668,87.10434112,1865
206,新疆维吾尔自治区,光伏,46.30493698,83.72667737,1027
207,新疆维吾尔自治区,光伏,44.49552486,91.55727677,1170
208,新疆维吾尔自治区,光伏,38.63148922,82.27144803,1092
209,新疆维吾尔自治区,光伏,44.16330163,82.13115468,1851
210,新疆维吾尔自治区,光伏,41.72043625,83.39015224,1172
211,新疆维吾尔自治区,光伏,39.65950325,81.89015686,1839
212,湖南省,火电,28.48871325,112.5444884,1458
213,湖南省,火电,27.27033939,111.3809845,529
214,湖南省,火电,27.31722913,111.8663449,773
215,湖南省,火电,28.11041236,111.9776565,621
216,湖南省,火电,28.01260867,109.5850968,1422
217,湖南省,水电,29.96470971,111.0308478,562
218,湖南省,水电,26.828525,113.0307226,1829
219,湖南省,水电,27.05794902,109.6307596,1724
220,湖南省,水电,26.75223505,110.0207455,877
221,湖南省,水电,28.37398004,110.8096455,611
222,湖南省,水电,28.16052641,109.8798405,1660
223,湖南省,水电,26.99946176,110.936734,649
224,湖南省,水电,26.71855071,112.1129556,1761
225,湖南省,水电,27.61745995,112.5862068,1306
226,湖南省,水电,28.83574174,109.3582883,1099
227,湖南省,水电,29.02900408,109.5941159,1311
228,湖南省,水电,29.26100448,110.963985,662
229,湖南省,水电,26.91424099,110.1173534,1083
230,湖南省,风电,28.53762454,112.890647,1976
231,湖南省,风电,27.59056856,111.1543147,1215
232,湖南省,风电,27.50981705,109.421599,1525
233,湖南省,光伏,27.231624,111.9799847,1540
234,海南省,火电,18.70640063,110.3340536,779
235,海南省,火电,19.88144626,110.9779525,1616
236,海南省,光伏,19.41840653,109.3331199,1244
237,云南省,火电,24.37388698,103.4756629,1418
238,云南省,火电,22.09349262,101.2694959,922
239,云南省,水电,26.08663199,104.4829723,1231
240,云南省,水电,24.70452745,99.70254551,1819
241,云南省,水电,23.72174279,104.8207642,1893
242,云南省,水电,24.91757239,103.5238691,1104
243,云南省,水电,25.4580961,99.94705785,1554
244,云南省,水电,24.7782484,100.4679026,1139
245,云南省,水电,25.48488453,102.9891474,829
246,云南省,水电,23.25353247,104.3373324,1784
247,云南省,水电,25.47226178,102.5018233,1912
248,云南省,水电,25.62772401,100.2654441,1358
249,云南省,水电,24.01149138,100.9684058,578
250,云南省,水电,22.14090435,99.38439613,831
251,云南省,水电,27.79205335,105.13237,906
252,云南省,水电,22.89107172,100.5716572,1746
253,云南省,水电,23.87754952,105.4516139,636
254,云南省,水电,22.65722712,102.7667342,1660
255,云南省,水电,26.97400174,99.37073513,1406
256,云南省,水电,25.793107,101.0674049,796
257,云南省,水电,23.31256489,100.9820286,1561
258,云南省,水电,24.52740804,102.1513057,1125
259,云南省,水电,24.54526553,103.4173216,1915
260,云南省,水电,27.15797108,99.16704979,613
261,云南省,水电,21.89891062,100.1028454,1120
262,云南省,水电,23.67538072,104.7198637,887
263,云南省,水电,28.46752424,99.07966402,1816
264,云南省,水电,25.55768566,102.5424098,806
265,云南省,水电,24.42408373,105.0775622,1916
266,云南省,水电,27.20157196,99.06594661,1375
267,云南省,水电,24.0514,97.92532711,1011
268,云南省,水电,26.47963525,103.6042428,1349
269,云南省,水电,26.04394156,100.9621599,906
270,云南省,水电,22.88600875,102.8612267,1942
271,云南省,水电,25.29985739,104.2123876,1143
272,云南省,水电,27.84428597,99.23252216,1390
273,云南省,水电,22.14131955,99.63374356,997
274,云南省,水电,23.473058,102.5907882,967
275,云南省,水电,24.36476423,98.19282987,1643
276,云南省,水电,23.84939883,105.2621046,1622
277,云南省,水电,24.47189287,100.6332288,857
278,云南省,水电,27.18411354,99.73482389,1564
279,云南省,水电,23.84429751,105.8253812,1813
280,云南省,水电,22.18462237,101.1357543,1166
281,云南省,水电,27.65626524,100.456279,891
282,云南省,水电,25.18449409,103.9555776,524
283,云南省,水电,21.77069676,100.9669871,1917
284,云南省,水电,24.86786561,100.1499792,1473
285,云南省,水电,27.25841958,103.4352286,1939
286,云南省,水电,24.53685309,101.1983121,1283
287,云南省,水电,23.98343686,104.0937838,523
288,云南省,水电,23.71507897,103.6368048,1201
289,云南省,风电,28.61763937,98.79333022,861
290,云南省,风电,24.87963937,104.2951882,1321
291,云南省,风电,26.06186369,104.0300874,1005
292,云南省,风电,22.97656236,99.92406552,572
293,云南省,风电,24.99184243,104.6549638,756
294,云南省,风电,28.536604,99.65352172,1884
295,云南省,风电,26.04830318,101.6794422,1578
296,云南省,风电,23.70001645,100.6162686,1521
297,云南省,风电,27.47286032,100.8803273,1113
298,云南省,风电,26.66513668,101.2419503,1709
299,云南省,风电,21.83085574,101.7715148,1068
300,云南省,风电,28.14606009,98.69600439,1580
301,云南省,风电,23.64968022,103.860933,1949
302,云南省,风电,23.90240806,105.4906095,1724
303,云南省,光伏,24.7944013,101.0368698,1911
304,云南省,光伏,24.75385935,99.09745305,1829
305,云南省,光伏,24.65275246,97.8138859,589
306,广东省,火电,23.58640628,113.866555,527
307,广东省,火电,23.56690216,113.0210662,1569
308,广东省,火电,23.29481296,114.325987,1466
309,广东省,火电,24.50661617,112.8614262,1967
310,广东省,火电,22.68012528,113.3107053,1477
311,广东省,火电,23.16646355,115.6985874,1953
312,广东省,火电,21.51845205,110.71532,1505
313,广东省,火电,23.03993166,114.2767663,935
314,广东省,火电,21.54846434,112.3409681,1629
315,广东省,火电,23.9201311,116.243408,1517
316,广东省,火电,24.35770067,115.3075992,1134
317,广东省,火电,22.05622822,114.2235947,1441
318,广东省,火电,22.57165709,113.3893029,1639
319,广东省,火电,21.74519827,112.2459374,1348
320,广东省,火电,22.95498265,115.7177363,1022
321,广东省,火电,24.48797921,116.5773087,1811
322,广东省,火电,24.9871365,113.0312835,625
323,广东省,火电,24.45547856,115.4545524,1569
324,广东省,火电,24.53942558,113.6009578,742
325,广东省,火电,23.30719137,112.09562,674
326,广东省,火电,22.16111861,111.0574416,819
327,广东省,火电,22.54408396,113.8173882,994
328,广东省,火电,23.9479836,116.7836207,1248
329,广东省,火电,22.86910791,114.2068132,653
330,广东省,水电,21.83204027,110.072363,1153
331,广东省,水电,21.28485222,109.7928269,987
332,广东省,水电,22.61447269,113.4165303,681
333,广东省,水电,23.47275021,113.8632265,791
334,广东省,水电,23.92629748,112.1397314,1185
335,广东省,水电,21.68067279,110.6629509,1053
336,广东省,水电,20.91494044,109.7917992,676
337,广东省,水电,23.27964881,114.0830769,1167
338,广东省,水电,24.81865189,116.0807086,598
339,广东省,水电,21.78015537,111.5098981,1428
340,广东省,水电,24.49668242,113.0200402,1232
341,广东省,风电,22.79306517,112.7497568,1642
342,广东省,风电,23.32515184,113.8237498,1180
343,广东省,风电,22.38568645,111.9903584,1774
344,广东省,光伏,24.8960484,114.370523,1275
345,广东省,光伏,24.71171542,113.9607617,571
346,广东省,光伏,23.19028825,116.637864,1504
347,福建省,火电,25.59784086,117.6254611,965
348,福建省,火电,27.3859322,119.3036066,1274
349,福建省,火电,27.4377592,117.848513,1475
350,福建省,火电,25.13436951,118.9896473,1552
351,福建省,火电,25.60108338,118.4654002,1066
352,福建省,火电,24.8907083,116.8949133,1636
353,福建省,火电,26.96898783,119.7242611,1257
354,福建省,火电,25.1862483,119.4956167,1187
355,福建省,水电,23.87442453,117.7543279,1778
356,福建省,水电,26.45185502,116.789023,721
357,福建省,水电,27.64508239,117.946669,1425
358,福建省,水电,24.40504348,117.1995852,650
359,福建省,水电,25.7264158,117.8063169,554
360,福建省,水电,27.03324454,117.0419988,1890
361,福建省,水电,25.33519864,116.2823289,609
362,福建省,水电,27.55927377,117.2280061,1016
363,福建省,水电,25.51399803,119.8791761,858
364,福建省,水电,27.51703305,119.506313,1609
365,福建省,水电,25.22610611,116.6747475,715
366,福建省,风电,25.34154508,119.4803316,785
367,福建省,风电,25.8067246,118.8295465,1387
368,福建省,风电,25.19213924,119.1956135,777
369,贵州省,火电,25.13068331,105.414197,819
370,贵州省,火电,26.4838924,105.7371635,884
371,贵州省,火电,26.31982133,109.0298556,906
372,贵州省,火电,25.78163455,106.6665682,1169
373,贵州省,火电,27.51888853,106.5259806,1681
374,贵州省,火电,28.37909346,105.8636885,1804
375,贵州省,火电,26.06395142,107.5601586,1024
376,贵州省,火电,28.18091835,107.4472071,1412
377,贵州省,水电,25.54069687,105.0785305,1063
378,贵州省,水电,27.46742966,108.5095458,832
379,贵州省,水电,27.59603536,109.4185223,1258
380,贵州省,水电,27.69358006,105.9462494,1430
381,贵州省,水电,27.43200254,107.0637216,1614
382,贵州省,水电,26.39944706,107.2225519,1262
383,贵州省,水电,26.80951112,107.3728181,521
384,贵州省,水电,27.51803028,106.9269311,1576
385,贵州省,水电,27.57334876,106.3754538,534
386,贵州省,水电,26.7362326,105.3163102,1856
387,贵州省,水电,28.04963607,108.921056,616
388,贵州省,水电,25.19834206,105.1606294,1407
389,贵州省,水电,27.09464229,107.5725848,542
390,贵州省,水电,27.67736309,107.6583788,1465
391,贵州省,水电,26.72331788,104.9944494,526
392,贵州省,水电,26.88813106,107.0149097,1037
393,贵州省,水电,26.81655813,105.4619639,1500
394,贵州省,水电,25.70613733,105.6515405,1728
395,贵州省,风电,26.16545879,106.8811756,506
396,贵州省,风电,26.43727637,106.2465266,526
397,贵州省,风电,26.74215171,104.6361234,1794
398,贵州省,光伏,26.20822505,106.027702,1641
399,贵州省,光伏,25.38205998,105.5532053,876
400,贵州省,光伏,26.94371728,103.9000695,1475
401,贵州省,光伏,27.15120973,104.1903204,1343
402,贵州省,光伏,26.78052096,107.8098207,665
403,江西省,火电,28.89965558,114.8722193,1482
404,江西省,火电,27.52269387,113.983392,1120
405,江西省,火电,27.45995589,114.8413093,1139
406,江西省,火电,29.70441671,116.2797608,1085
407,江西省,火电,28.24797035,117.8994386,1621
408,江西省,火电,27.27183797,114.8475365,1237
409,江西省,水电,29.39133296,115.1080851,1332
410,江西省,水电,28.05129397,117.5637261,1621
411,江西省,水电,28.81588342,115.3695154,786
412,江西省,水电,28.65097319,114.593577,1202
413,江西省,风电,29.72522791,115.608009,795
414,江西省,光伏,25.60034203,115.0993902,1512
415,江西省,光伏,28.80986177,117.5712833,1511
416,江西省,光伏,28.48280435,114.2132821,1728
417,江西省,光伏,29.59838087,116.0727524,1268
418,浙江省,火电,28.63461519,121.2093018,657
419,浙江省,火电,28.78126201,118.6469413,1691
420,浙江省,火电,29.23591491,120.1023852,1752
421,浙江省,火电,27.68971927,119.2771634,853
422,浙江省,火电,29.38417439,121.7080657,1401
423,浙江省,火电,30.04870164,121.0104047,1397
424,浙江省,火电,30.40324858,122.5556774,903
425,浙江省,火电,29.57985766,121.2590238,958
426,浙江省,火电,28.71260739,120.4030399,1503
427,浙江省,火电,30.04897515,120.1924955,1662
428,浙江省,火电,30.56770675,121.7382376,718
429,浙江省,火电,30.63815451,119.3221069,535
430,浙江省,火电,28.49744154,119.8698627,1835
431,浙江省,火电,29.71754314,122.2829388,915
432,浙江省,火电,29.31540268,121.2448007,911
433,浙江省,火电,28.42861188,118.9620448,1816
434,浙江省,火电,28.66254938,119.9355599,607
435,浙江省,火电,28.50194461,119.8573234,1341
436,浙江省,水电,28.58623369,118.58764,1837
437,浙江省,水电,29.13689763,118.294337,507
438,浙江省,水电,28.02800895,120.8864095,1620
439,浙江省,水电,29.8476122,118.9731435,942
440,浙江省,水电,30.4577163,120.4565495,1777
441,浙江省,光伏,28.83538463,120.4659344,1953
442,浙江省,光伏,29.76228524,122.2233035,1679
443,浙江省,光伏,29.49763364,120.0581178,1262
444,浙江省,光伏,30.65385577,120.2439237,1680
445,四川省,火电,27.13070851,102.1668021,1304
446,四川省,火电,29.73422575,99.96747899,1207
447,四川省,火电,32.49359267,100.3735986,1092
448,四川省,火电,33.22556845,103.616689,1088
449,四川省,水电,31.06912201,99.91801909,1215
450,四川省,水电,31.97408297,98.98414008,657
451,四川省,水电,29.93121941,103.5230794,1254
452,四川省,水电,32.56313466,98.6020009,802
453,四川省,水电,30.42096435,102.0701104,1783
454,四川省,水电,31.72317503,105.4721857,1224
455,四川省,水电,28.34037005,105.0812039,788
456,四川省,水电,27.74015561,105.8084065,1331
457,四川省,水电,33.7736307,97.76276624,1575
458,四川省,水电,32.15766718,105.3418634,710
459,四川省,水电,28.63814055,102.8030046,948
460,四川省,水电,31.29930956,103.3335244,1979
461,四川省,水电,31.60000342,108.0691899,1032
462,四川省,水电,29.1533884,105.3974972,1495
463,四川省,水电,28.75118298,99.17920227,1979
464,四川省,水电,28.68422881,99.40608239,834
465,四川省,水电,29.45625093,100.4772652,918
466,四川省,水电,32.33235991,105.8118304,1365
467,四川省,水电,31.56725545,106.4013467,1120
468,四川省,水电,29.77972518,100.8430875,793
469,四川省,水电,32.2018235,101.6989707,1199
470,四川省,水电,31.68807766,103.1888265,786
471,四川省,水电,32.3554314,101.876587,1129
472,四川省,水电,32.58304274,101.2561237,1518
473,四川省,水电,30.41718139,101.411792,1322
474,四川省,水电,28.29210292,102.5296207,1647
475,四川省,水电,32.75450007,98.24182056,1099
476,四川省,水电,28.6069842,99.29592487,1965
477,四川省,水电,29.42694425,103.6144104,1924
478,四川省,水电,32.55587352,105.5779897,1788
479,四川省,水电,32.11444252,106.7380954,877
480,四川省,水电,32.89833737,99.13677334,904
481,四川省,水电,30.95065751,104.9776166,515
482,四川省,水电,28.46858635,104.8669484,1489
483,四川省,水电,29.72327881,104.9618299,1327
484,四川省,水电,27.7770984,105.723541,1424
485,四川省,水电,31.04703316,108.0251422,1707
486,四川省,水电,27.38886693,102.5494793,1720
487,四川省,水电,30.99891232,103.606739,558
488,四川省,水电,32.0814696,105.994643,853
489,四川省,水电,30.30528106,103.7368138,1635
490,四川省,水电,29.33528335,104.8228095,629
491,四川省,水电,31.53350111,99.94239187,936
492,四川省,水电,29.98350222,103.6919338,1587
493,四川省,水电,29.07576646,104.5137368,1637
494,四川省,水电,30.08421444,106.8765347,1665
495,四川省,水电,32.03571253,102.4059568,528
496,四川省,水电,31.71456135,98.9244052,896
497,四川省,水电,32.14013241,102.9226824,1759
498,四川省,水电,29.38274229,99.86292749,679
499,四川省,水电,30.14427671,100.603394,1573
500,四川省,水电,31.10207736,107.3437714,1636
501,四川省,水电,31.76601599,108.3615058,511
502,四川省,水电,30.17323077,103.1843503,1031
503,四川省,水电,31.27139553,99.80057477,1734
504,四川省,水电,29.50224907,99.93768077,1250
505,四川省,水电,33.7299936,98.0718709,1827
506,四川省,水电,33.78210284,97.47277792,1263
507,四川省,水电,27.65825995,101.7762686,597
508,四川省,水电,29.65386888,104.2938399,1003
509,四川省,水电,29.22702221,102.839558,1885
510,四川省,风电,27.44558012,102.0726913,811
511,四川省,风电,30.25091925,100.1118626,1097
512,四川省,光伏,30.46849841,103.0939975,1650
513,湖北省,火电,30.15703595,115.5860969,932
514,湖北省,火电,31.21453055,110.7361189,1360
515,湖北省,火电,30.13642636,113.9556984,553
516,湖北省,火电,30.47406593,111.5233453,1283
517,湖北省,火电,30.36636457,115.1333544,824
518,湖北省,火电,32.13805897,112.4574601,1853
519,湖北省,火电,30.77152889,113.3388617,1604
520,湖北省,火电,30.92939201,115.954762,1717
521,湖北省,水电,30.91607565,114.9650268,1885
522,湖北省,水电,30.91845861,115.6723785,1777
523,湖北省,水电,30.7238244,110.2295198,1262
524,湖北省,水电,30.60509738,110.4884182,1621
525,湖北省,水电,30.1864498,109.929028,1059
526,湖北省,水电,29.31590489,113.9816015,1524
527,湖北省,水电,31.73193925,113.9345126,1740
528,湖北省,水电,30.87378283,111.1936896,1622
529,湖北省,水电,31.0103242,110.9466079,507
530,湖北省,水电,29.72892082,114.9594874,1991
531,湖北省,水电,30.85828805,110.6236254,1229
532,湖北省,水电,32.83548579,110.6243673,536
533,湖北省,水电,32.868656,110.4978122,1437
534,湖北省,水电,31.97420995,113.3578406,947
535,湖北省,水电,31.6210944,111.3528608,1731
536,湖北省,水电,32.09188474,113.2816915,1605
537,湖北省,水电,32.52774933,110.6977202,1119
